LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,timestamp,hresult,kb_package,session_id,param_count,has_failure,has_warning,has_hresult,event_class
1,2005-12-04,04:47:44,Info,workerEnv.init,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E1,workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:47:44,,,,0,False,False,False,INIT
2,2005-12-04,04:47:44,Error,mod_jk,mod_jk child workerEnv in error state 6,E2,mod_jk child workerEnv in error state <*>,2005-12-04 04:47:44,,,,1,True,False,False,FAILURE
3,2005-12-04,04:51:08,Info,jk2_init,jk2_init() Found child 6725 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,2005-12-04 04:51:08,,,,2,False,False,False,INIT
4,2005-12-04,04:51:09,Info,jk2_init,jk2_init() Found child 6726 in scoreboard slot 8,E4,jk2_init() Found child <*> in scoreboard slot <*>,2005-12-04 04:51:09,,,,2,False,False,False,INIT
5,2005-12-04,04:51:09,Info,jk2_init,jk2_init() Found child 6728 in scoreboard slot 6,E5,jk2_init() Found child <*> in scoreboard slot <*>,2005-12-04 04:51:09,,,,2,False,False,False,INIT
6,2005-12-04,04:51:14,Info,workerEnv.init,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E6,workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:51:14,,,,0,False,False,False,INIT
7,2005-12-04,04:51:14,Info,workerEnv.init,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E7,workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:51:14,,,,0,False,False,False,INIT
8,2005-12-04,04:51:14,Info,workerEnv.init,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E8,workerEnv.init() ok /etc/httpd/conf/workers2.properties,2005-12-04 04:51:14,,,,0,False,False,False,INIT
9,2005-12-04,04:51:18,Error,mod_jk,mod_jk child workerEnv in error state 6,E9,mod_jk child workerEnv in error state <*>,2005-12-04 04:51:18,,,,1,True,False,False,FAILURE
10,2005-12-04,04:51:18,Error,mod_jk,mod_jk child workerEnv in error state 6,E10,mod_jk child workerEnv in error state <*>,2005-12-04 04:51:18,,,,1,True,False,False,FAILURE
11,2005-12-04,04:51:18,Error,mod_jk,mod_jk child workerEnv in error state 6,E11,mod_jk child workerEnv in error state <*>,2005-12-04 04:51:18,,,,1,True,False,False,FAILURE
